Date,Open,High,Low,Close,Adj Close,Volume
2001-09-06,5.634180,5.634180,4.583740,4.965720,4.779714,9629876
2001-09-07,5.156710,5.156710,4.870220,4.965720,4.779714,1400003
2001-09-10,5.108960,5.156710,5.013460,5.108960,4.917587,800858
2001-09-11,5.204450,5.204450,4.774730,4.822480,4.641839,702333
2001-09-12,4.822480,4.917970,4.297260,4.822480,4.641839,552658
2001-09-13,4.822480,4.870220,4.488240,4.765180,4.586685,407697
2001-09-14,4.679230,4.679230,4.488240,4.488240,4.320118,305858
2001-09-17,4.297260,4.297260,3.724290,3.772040,3.630746,557785
2001-09-18,3.819780,3.819780,3.485550,3.810230,3.667506,371449
2001-09-19,3.819780,3.819780,3.724290,3.819780,3.676698,514204
2001-09-20,3.724290,3.819780,3.294560,3.437800,3.309026,512282
2001-09-21,3.437800,3.437800,3.103570,3.390060,3.263074,924042
2001-09-24,3.819780,3.819780,3.628790,3.724290,3.584785,175905
2001-09-25,3.800680,3.800680,3.628790,3.724290,3.584785,65972
2001-09-26,3.657440,3.762490,3.628790,3.628790,3.492862,341165
2001-09-27,3.772040,3.772040,3.600150,3.628790,3.492862,198139
2001-09-28,null,null,null,null,null,null
2001-10-01,3.724290,3.915280,3.676540,3.791130,3.649121,1310253
2001-10-02,3.800680,3.819780,3.743390,3.819780,3.676698,411018
2001-10-03,3.867530,3.867530,3.772040,3.867530,3.722660,438436
2001-10-04,3.915280,4.583740,3.915280,4.345000,4.182244,1510712
2001-10-05,4.583740,5.586430,4.583740,4.822480,4.641839,518593
2001-10-08,5.156710,5.156710,4.774730,5.061210,4.871626,236123
2001-10-09,4.965720,5.395440,4.774730,5.156710,4.963549,182904
2001-10-10,5.252200,5.347700,5.156710,5.347700,5.147385,95010
2001-10-11,5.395440,5.490940,5.299950,5.347700,5.147385,190089
2001-10-12,5.443190,5.634180,5.252200,5.347700,5.147385,220568
2001-10-15,5.395440,5.490940,5.395440,5.443190,5.239298,422317
2001-10-16,null,null,null,null,null,null
2001-10-17,5.681930,5.681930,5.443190,5.634180,5.423133,118935
2001-10-18,5.538680,5.538680,5.252200,5.490940,5.285259,382680
2001-10-19,5.634180,5.634180,5.252200,5.443190,5.239298,313278
2001-10-22,5.443190,5.490940,5.252200,5.299950,5.101423,342658
